,Neighborhood,Sectors,Population,Pop % of City,Major Roads,Street Density,Major Crime Report,Crime %,# Playgrounds,Jobs:Construction,Jobs:Manufacturing,Jobs:Retail,Jobs:Transportation,Jobs:Information,Jobs: Finance,Jobs:Science,Jobs:Educ,Jobs: Arits,Jobs: Public,Park,Playground,Street,Maintenance_responsibility,Address,Price,Beds,Baths
23,Brookline,5.0,13214.0,0.04,9.15,27.3,241.0,1.8,2.0,0.07,0.04,0.09,0.07,0.02,0.07,0.11,0.25,0.11,0.08,Brookline Memorial Park,Brookline Playground,OAKRIDGE ST,Parks - Southern,915 Rossmore,134900.0,3.0,2.0
24,Brookline,5.0,13214.0,0.04,9.15,27.3,241.0,1.8,2.0,0.07,0.04,0.09,0.07,0.02,0.07,0.11,0.25,0.11,0.08,Brookline Memorial Park,Brookline Playground,OAKRIDGE ST,Parks - Southern,202 Capital Ave,189900.0,3.0,2.0
25,Brookline,5.0,13214.0,0.04,9.15,27.3,241.0,1.8,2.0,0.07,0.04,0.09,0.07,0.02,0.07,0.11,0.25,0.11,0.08,Brookline Memorial Park,Brookline Playground,OAKRIDGE ST,Parks - Southern,1526 Woodbourne,159900.0,3.0,1.0
26,Brookline,5.0,13214.0,0.04,9.15,27.3,241.0,1.8,2.0,0.07,0.04,0.09,0.07,0.02,0.07,0.11,0.25,0.11,0.08,Brookline Memorial Park,Brookline Playground,OAKRIDGE ST,Parks - Southern,2320 Wolford St,129888.0,3.0,2.0
27,California-Kirkbride,3.0,761.0,0.0,1.58,29.4,64.0,8.4,0.0,0.0,0.23,0.04,0.0,0.18,0.07,0.06,0.42,0.0,0.0,,,,,,,,
28,Carrick,5.0,10113.0,0.03,6.56,27.5,453.0,4.5,3.0,0.05,0.09,0.13,0.07,0.04,0.07,0.11,0.24,0.09,0.04,Leolyn Park,Leolyn Playground,LEOLYN ST,Parks - Southern,18 Newett St,194000.0,3.0,2.0
29,Central Business District,16.0,3629.0,0.01,13.55,48.2,789.0,21.7,1.0,0.02,0.07,0.06,0.03,0.07,0.12,0.12,0.28,0.13,0.0,,,,,,,,
30,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,3937 Mintwood St,225000.0,4.0,2.0
31,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,5551 Butler St Unit D+,598900.0,4.0,3.0
32,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,5571 Butler St Unit D,539700.0,4.0,3.0
33,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,156 56th St Unit A2+,499900.0,3.0,3.0
34,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,164 56th St Unit B,459700.0,3.0,3.0
35,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,5407 Carnegie,336000.0,3.0,2.0
36,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,5300 Mccandless Ave,825000.0,4.0,4.0
37,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,349 Fisk,289000.0,5.0,1.0
38,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,421 52nd St,325000.0,4.0,0.0
39,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,5256 Carnegie St,469000.0,3.0,2.0
40,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,3914 Howley St,449000.0,3.0,2.0
41,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,223 40th St,449500.0,4.0,2.0
42,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,176 38th St,290000.0,2.0,2.0
43,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,519 1/2 53rd St,127500.0,2.0,1.0
44,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,3644 Penn Ave #301,285000.0,1.0,1.0
45,Lawrenceville,13.0,4482.0,0.01,2.53,19.0,177.0,3.9,2.0,0.04,0.06,0.07,0.08,0.03,0.02,0.11,0.28,0.09,0.02,Leslie Park,Leslie Playground,46TH ST,Parks - Northeast,4119 Foster St,215000.0,3.0,1.0
46,Central Northside,3.0,2923.0,0.01,1.81,47.0,118.0,4.0,1.0,0.01,0.08,0.15,0.04,0.05,0.1,0.1,0.28,0.1,0.02,Alpine Gardens Park,Alpine Playground,ALPINE AVE,Parks - Northern,,,,
47,Oakland,14.0,6086.0,0.02,1.12,33.8,236.0,3.9,2.0,0.02,0.01,0.14,0.01,0.06,0.03,0.04,0.41,0.23,0.03,Boundary Street Park,Boundary Street Playground,BOUNDARY ST,Parks - Schenley,3244 Ward St,249900.0,3.0,2.0
48,Oakland,14.0,6086.0,0.02,1.12,33.8,236.0,3.9,2.0,0.02,0.01,0.14,0.01,0.06,0.03,0.04,0.41,0.23,0.03,Boundary Street Park,Boundary Street Playground,BOUNDARY ST,Parks - Schenley,3438 Frazier St,30000.0,0.0,0.0
49,Oakland,14.0,6086.0,0.02,1.12,33.8,236.0,3.9,2.0,0.02,0.01,0.14,0.01,0.06,0.03,0.04,0.41,0.23,0.03,Boundary Street Park,Boundary Street Playground,BOUNDARY ST,Parks - Schenley,146 N Bellefield #1203,565000.0,3.0,2.0
50,Oakland,14.0,6086.0,0.02,1.12,33.8,236.0,3.9,2.0,0.02,0.01,0.14,0.01,0.06,0.03,0.04,0.41,0.23,0.03,Boundary Street Park,Boundary Street Playground,BOUNDARY ST,Parks - Schenley,220 N Dithridge St #405,339000.0,2.0,2.0
51,Oakland,14.0,6086.0,0.02,1.12,33.8,236.0,3.9,2.0,0.02,0.01,0.14,0.01,0.06,0.03,0.04,0.41,0.23,0.03,Boundary Street Park,Boundary Street Playground,BOUNDARY ST,Parks - Schenley,3764 Bigelow Blvd,189900.0,3.0,2.0
52,Oakland,14.0,6086.0,0.02,1.12,33.8,236.0,3.9,2.0,0.02,0.01,0.14,0.01,0.06,0.03,0.04,0.41,0.23,0.03,Boundary Street Park,Boundary Street Playground,BOUNDARY ST,Parks - Schenley,307 S Dithridge #410,325000.0,2.0,2.0
53,Oakland,14.0,6086.0,0.02,1.12,33.8,236.0,3.9,2.0,0.02,0.01,0.14,0.01,0.06,0.03,0.04,0.41,0.23,0.03,Boundary Street Park,Boundary Street Playground,BOUNDARY ST,Parks - Schenley,4601 Fifth Ave #326,155000.0,2.0,2.0
54,Chartiers City,4.0,477.0,0.0,0.35,32.8,9.0,1.9,0.0,0.07,0.05,0.13,0.07,0.0,0.11,0.0,0.39,0.07,0.06,,,,,,,,
55,Crafton Heights,4.0,3814.0,0.01,3.04,25.6,89.0,2.3,2.0,0.04,0.07,0.11,0.04,0.03,0.1,0.1,0.21,0.09,0.07,Dunbar Park,Dunbar Playground,CLAIRHAVEN ST,Parks - Western,1663 Steuben,149000.0,3.0,2.0
56,Crawford-Roberts,15.0,2256.0,0.01,1.57,43.0,129.0,5.7,3.0,0.0,0.05,0.13,0.09,0.05,0.07,0.02,0.43,0.1,0.04,Albert Turk Graham Park,Albert Graham Playground,FORESIDE PL,Parks - Schenley,,,,
57,Duquesne Heights,6.0,2425.0,0.01,4.08,22.6,55.0,2.3,0.0,0.01,0.11,0.1,0.09,0.04,0.07,0.26,0.14,0.04,0.09,Emerald View Park - Eileen McCoy Park,Eileen McCoy Playground,SHALER ST,Parks - Western,,,,
58,East Carnegie,4.0,570.0,0.0,0.77,12.9,9.0,1.6,2.0,0.19,0.21,0.0,0.0,0.0,0.0,0.12,0.38,0.0,0.0,East Carnegie Park,East Carnegie Playground,DOOLITTLE ST,Parks - Western,,,,
59,East Hills,11.0,3169.0,0.01,1.68,27.0,90.0,2.8,0.0,0.03,0.04,0.09,0.05,0.02,0.11,0.09,0.3,0.11,0.07,,,,,,,,
60,East Liberty,12.0,5869.0,0.02,4.59,36.4,488.0,8.3,0.0,0.01,0.09,0.09,0.03,0.02,0.13,0.07,0.41,0.08,0.02,Enright Park,Enright Playground,EVA ST,Parks - Northeast,5533 Columbo St,299000.0,4.0,0.0
61,East Liberty,12.0,5869.0,0.02,4.59,36.4,488.0,8.3,0.0,0.01,0.09,0.09,0.03,0.02,0.13,0.07,0.41,0.08,0.02,Enright Park,Enright Playground,EVA ST,Parks - Northeast,700 Collins Ave,259000.0,4.0,4.0
62,East Liberty,12.0,5869.0,0.02,4.59,36.4,488.0,8.3,0.0,0.01,0.09,0.09,0.03,0.02,0.13,0.07,0.41,0.08,0.02,Enright Park,Enright Playground,EVA ST,Parks - Northeast,6716 Atwell St,64900.0,2.0,1.0
63,East Liberty,12.0,5869.0,0.02,4.59,36.4,488.0,8.3,0.0,0.01,0.09,0.09,0.03,0.02,0.13,0.07,0.41,0.08,0.02,Enright Park,Enright Playground,EVA ST,Parks - Northeast,633 Collins Ave,189000.0,6.0,2.0
64,Elliott,4.0,2381.0,0.01,4.06,31.4,105.0,4.4,3.0,0.04,0.17,0.02,0.04,0.0,0.11,0.16,0.19,0.1,0.04,Herschel Park,Herschel Playground,HERSCHEL ST,Parks - Western,915 Valonia St,49900.0,3.0,2.0
65,Elliott,4.0,2381.0,0.01,4.06,31.4,105.0,4.4,3.0,0.04,0.17,0.02,0.04,0.0,0.11,0.16,0.19,0.1,0.04,Herschel Park,Herschel Playground,HERSCHEL ST,Parks - Western,1004 Herschel St,14900.0,2.0,1.0
66,Esplen,4.0,301.0,0.0,1.42,18.7,31.0,10.3,1.0,0.0,0.0,0.23,0.0,0.0,0.0,0.12,0.38,0.15,0.0,Esplen Park,Esplen Playground,ESPLEN ST,Parks - Western,,,,
67,Fairywood,4.0,1002.0,0.0,1.4,9.4,3.0,0.3,1.0,0.11,0.0,0.0,0.0,0.24,0.0,0.25,0.27,0.07,0.0,Fairywood Park,Fairywood Playground,VILLAGE RD,Parks - Western,,,,
