,Neighborhood,Sectors,Population,Pop % of City,Major Roads,Street Density,Major Crime Report,Crime %,# Playgrounds,Jobs:Construction,Jobs:Manufacturing,Jobs:Retail,Jobs:Transportation,Jobs:Information,Jobs: Finance,Jobs:Science,Jobs:Educ,Jobs: Arits,Jobs: Public,Park,Playground,Street,Maintenance_responsibility,Address,Price,Beds,Baths
95,Morningside,12.0,3346.0,0.01,1.94,39.9,67.0,2.0,2.0,0.03,0.02,0.1,0.03,0.01,0.08,0.08,0.34,0.13,0.05,Heth's Park,Heth's Playground,HAMPTON ST,Parks - Northeast,1719 Jancey St,239000.0,2.0,2.0
96,Morningside,12.0,3346.0,0.01,1.94,39.9,67.0,2.0,2.0,0.03,0.02,0.1,0.03,0.01,0.08,0.08,0.34,0.13,0.05,Heth's Park,Heth's Playground,HAMPTON ST,Parks - Northeast,1948 Antietam St,239000.0,3.0,2.0
97,Morningside,12.0,3346.0,0.01,1.94,39.9,67.0,2.0,2.0,0.03,0.02,0.1,0.03,0.01,0.08,0.08,0.34,0.13,0.05,Heth's Park,Heth's Playground,HAMPTON ST,Parks - Northeast,1611 Jancey St,279900.0,4.0,1.0
98,Mount Washington,6.0,8799.0,0.03,4.63,30.0,434.0,4.9,3.0,0.02,0.06,0.13,0.04,0.03,0.09,0.14,0.27,0.14,0.03,Emerald View Park - Mt. Washington Park,Mt. Washington Playground,NORTON ST,Parks - Western,,,,
99,Mt. Oliver,7.0,509.0,0.0,0.74,35.3,12.0,2.4,0.0,0.0,0.08,0.26,0.05,0.0,0.05,0.05,0.15,0.05,0.05,,,,,,,,
100,New Homestead,8.0,990.0,0.0,0.62,15.2,7.0,0.7,1.0,0.02,0.04,0.25,0.11,0.0,0.06,0.06,0.23,0.02,0.08,Roland Lockridge Community Park,Roland Lockridge Playground,REVENUE ST,Parks - Southern,,,,
101,North Shore,16.0,303.0,0.0,6.81,44.9,72.0,23.8,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.21,0.29,0.0,0.0,,,,,,,,
102,Northview Heights,1.0,1214.0,0.0,3.16,18.5,63.0,5.2,0.0,0.0,0.08,0.15,0.0,0.0,0.15,0.14,0.21,0.07,0.15,,,,,,,,
103,Oakwood,4.0,1027.0,0.0,1.77,22.7,14.0,1.4,1.0,0.1,0.04,0.1,0.03,0.04,0.04,0.09,0.28,0.1,0.1,Oakwood Park,Oakwood Playground,DURBIN ST,Parks - Western,,,,
104,Overbrook,5.0,3644.0,0.01,2.66,24.9,73.0,2.0,0.0,0.09,0.08,0.06,0.06,0.02,0.08,0.13,0.26,0.07,0.06,,,,,2027 Dartmore St,139500.0,4.0,2.0
105,Overbrook,5.0,3644.0,0.01,2.66,24.9,73.0,2.0,0.0,0.09,0.08,0.06,0.06,0.02,0.08,0.13,0.26,0.07,0.06,,,,,308 Elwyn Ave,162000.0,3.0,2.0
106,Overbrook,5.0,3644.0,0.01,2.66,24.9,73.0,2.0,0.0,0.09,0.08,0.06,0.06,0.02,0.08,0.13,0.26,0.07,0.06,,,,,2628 Library Rd,57900.0,3.0,3.0
107,Perry Hilltop,2.0,4050.0,0.01,5.56,22.4,112.0,2.8,1.0,0.1,0.06,0.1,0.05,0.04,0.06,0.1,0.31,0.08,0.03,Riverview Park,Riverview Playground,RIVERVIEW AVE,Parks - Northern,420 Marshall Ave,189999.0,4.0,2.0
108,Perry Hilltop,2.0,4050.0,0.01,5.56,22.4,112.0,2.8,1.0,0.1,0.06,0.1,0.05,0.04,0.06,0.1,0.31,0.08,0.03,Riverview Park,Riverview Playground,RIVERVIEW AVE,Parks - Northern,4045 Portman Ave,75000.0,3.0,2.0
109,Point Breeze,10.0,5315.0,0.02,5.13,21.2,116.0,2.2,0.0,0.07,0.07,0.03,0.01,0.02,0.07,0.16,0.43,0.06,0.02,,,,,6720 Simonton St,19900.0,0.0,0.0
110,Point Breeze,10.0,5315.0,0.02,5.13,21.2,116.0,2.2,0.0,0.07,0.07,0.03,0.01,0.02,0.07,0.16,0.43,0.06,0.02,,,,,6829 Penham,750000.0,4.0,3.0
111,Point Breeze,10.0,5315.0,0.02,5.13,21.2,116.0,2.2,0.0,0.07,0.07,0.03,0.01,0.02,0.07,0.16,0.43,0.06,0.02,,,,,353 Hastings St,499900.0,4.0,3.0
112,Polish Hill,13.0,1274.0,0.0,1.46,31.4,34.0,2.7,1.0,0.06,0.09,0.24,0.08,0.0,0.03,0.06,0.3,0.11,0.03,West Penn Park,West Penn Playground,30TH ST,Parks - Northeast,,,,
113,Regent Square,10.0,928.0,0.0,0.46,23.5,38.0,4.1,1.0,0.0,0.13,0.04,0.04,0.04,0.1,0.11,0.46,0.01,0.01,Frick Park,Forbes and Braddock Playground,BRADDOCK AVE,Parks - Eastern,319 West,439000.0,4.0,4.0
114,Regent Square,10.0,928.0,0.0,0.46,23.5,38.0,4.1,1.0,0.0,0.13,0.04,0.04,0.04,0.1,0.11,0.46,0.01,0.01,Frick Park,Forbes and Braddock Playground,BRADDOCK AVE,Parks - Eastern,403 West,375000.0,4.0,2.0
115,Ridgemont,4.0,483.0,0.0,3.31,18.4,14.0,2.9,0.0,0.0,0.5,0.04,0.04,0.0,0.12,0.04,0.18,0.0,0.04,,,,,,,,
116,Shadyside,12.0,13915.0,0.05,4.29,29.6,623.0,4.5,1.0,0.01,0.05,0.06,0.02,0.03,0.08,0.18,0.46,0.07,0.02,Mellon Park,Mellon Playground,FIFTH AVE,Parks - Eastern,6336 Aurelia St,499000.0,4.0,0.0
117,Shadyside,12.0,13915.0,0.05,4.29,29.6,623.0,4.5,1.0,0.01,0.05,0.06,0.02,0.03,0.08,0.18,0.46,0.07,0.02,Mellon Park,Mellon Playground,FIFTH AVE,Parks - Eastern,5523 Ellsworth Ave Unit 3C,189900.0,2.0,2.0
118,Shadyside,12.0,13915.0,0.05,4.29,29.6,623.0,4.5,1.0,0.01,0.05,0.06,0.02,0.03,0.08,0.18,0.46,0.07,0.02,Mellon Park,Mellon Playground,FIFTH AVE,Parks - Eastern,5703 Elmer Unit 2B,319900.0,2.0,2.0
119,Shadyside,12.0,13915.0,0.05,4.29,29.6,623.0,4.5,1.0,0.01,0.05,0.06,0.02,0.03,0.08,0.18,0.46,0.07,0.02,Mellon Park,Mellon Playground,FIFTH AVE,Parks - Eastern,35 Hemingway,349000.0,3.0,2.0
120,Shadyside,12.0,13915.0,0.05,4.29,29.6,623.0,4.5,1.0,0.01,0.05,0.06,0.02,0.03,0.08,0.18,0.46,0.07,0.02,Mellon Park,Mellon Playground,FIFTH AVE,Parks - Eastern,537 N Neville St Unit 1D/E,2800000.0,3.0,4.0
121,Shadyside,12.0,13915.0,0.05,4.29,29.6,623.0,4.5,1.0,0.01,0.05,0.06,0.02,0.03,0.08,0.18,0.46,0.07,0.02,Mellon Park,Mellon Playground,FIFTH AVE,Parks - Eastern,5 Bayard Rd #104,149000.0,1.0,1.0
122,Shadyside,12.0,13915.0,0.05,4.29,29.6,623.0,4.5,1.0,0.01,0.05,0.06,0.02,0.03,0.08,0.18,0.46,0.07,0.02,Mellon Park,Mellon Playground,FIFTH AVE,Parks - Eastern,400 Morewood Ave,749000.0,5.0,4.0
123,Sheraden,4.0,5299.0,0.02,1.84,35.0,222.0,4.2,4.0,0.09,0.06,0.14,0.06,0.02,0.11,0.11,0.17,0.15,0.04,McGonigle Park,McGonigle Playground,ALLENDALE ST,Parks - Western,3205 Ashlyn St,74900.0,4.0,2.0
124,Sheraden,4.0,5299.0,0.02,1.84,35.0,222.0,4.2,4.0,0.09,0.06,0.14,0.06,0.02,0.11,0.11,0.17,0.15,0.04,McGonigle Park,McGonigle Playground,ALLENDALE ST,Parks - Western,3233 Faronia St,75000.0,3.0,1.0
125,Sheraden,4.0,5299.0,0.02,1.84,35.0,222.0,4.2,4.0,0.09,0.06,0.14,0.06,0.02,0.11,0.11,0.17,0.15,0.04,McGonigle Park,McGonigle Playground,ALLENDALE ST,Parks - Western,1401 & 1403 Evanston St,133334.0,4.0,0.0
126,Sheraden,4.0,5299.0,0.02,1.84,35.0,222.0,4.2,4.0,0.09,0.06,0.14,0.06,0.02,0.11,0.11,0.17,0.15,0.04,McGonigle Park,McGonigle Playground,ALLENDALE ST,Parks - Western,1341 & 1343 Evanston St,133334.0,4.0,0.0
127,Sheraden,4.0,5299.0,0.02,1.84,35.0,222.0,4.2,4.0,0.09,0.06,0.14,0.06,0.02,0.11,0.11,0.17,0.15,0.04,McGonigle Park,McGonigle Playground,ALLENDALE ST,Parks - Western,1337 & 1339 Evanston St,133334.0,4.0,0.0
128,South Shore,16.0,19.0,0.0,3.64,37.7,37.0,194.7,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.26,0.45,0.0,,,,,,,,
129,South Side Flats,7.0,6597.0,0.02,4.09,27.7,669.0,10.1,2.0,0.04,0.05,0.09,0.03,0.02,0.11,0.18,0.26,0.15,0.02,Armstrong Park,Armstrong Playground,S 12TH ST,Parks - Southern,,,,
130,South Side Slopes,7.0,4423.0,0.01,2.53,31.1,210.0,4.7,5.0,0.08,0.06,0.14,0.03,0.02,0.05,0.1,0.19,0.23,0.04,Arlington Park,Arlington Playground,FERNLEAF ST,Parks - Southern,,,,
131,Spring Garden,1.0,884.0,0.0,1.93,23.8,36.0,4.1,1.0,0.07,0.13,0.02,0.08,0.03,0.1,0.06,0.24,0.11,0.09,Catalano Park,Catalono Playground,SPRING GARDEN AVE,Parks - Northern,,,,
132,Spring Hill-City View,1.0,2648.0,0.01,1.92,24.1,121.0,4.6,1.0,0.03,0.06,0.13,0.02,0.0,0.09,0.13,0.34,0.1,0.03,Spring Hill Park,Spring Hill Playground,SOUTH SIDE AVE,Parks - Northern,,,,
133,Squirrel Hill,10.0,11363.0,0.04,8.19,21.7,148.0,1.3,1.0,0.01,0.05,0.05,0.02,0.01,0.06,0.15,0.51,0.06,0.01,Wightman Park,Wightman Playground,SOLWAY ST,Parks - Eastern,3234 Beechwood Blvd,520000.0,5.0,2.0
134,Squirrel Hill,10.0,11363.0,0.04,8.19,21.7,148.0,1.3,1.0,0.01,0.05,0.05,0.02,0.01,0.06,0.15,0.51,0.06,0.01,Wightman Park,Wightman Playground,SOLWAY ST,Parks - Eastern,414 Schenley Rd,859000.0,3.0,4.0
135,Squirrel Hill,10.0,11363.0,0.04,8.19,21.7,148.0,1.3,1.0,0.01,0.05,0.05,0.02,0.01,0.06,0.15,0.51,0.06,0.01,Wightman Park,Wightman Playground,SOLWAY ST,Parks - Eastern,6521 Landview Rd,255000.0,3.0,1.0
136,Squirrel Hill,10.0,11363.0,0.04,8.19,21.7,148.0,1.3,1.0,0.01,0.05,0.05,0.02,0.01,0.06,0.15,0.51,0.06,0.01,Wightman Park,Wightman Playground,SOLWAY ST,Parks - Eastern,1568 Overton Ln,650000.0,3.0,3.0
137,Squirrel Hill,10.0,11363.0,0.04,8.19,21.7,148.0,1.3,1.0,0.01,0.05,0.05,0.02,0.01,0.06,0.15,0.51,0.06,0.01,Wightman Park,Wightman Playground,SOLWAY ST,Parks - Eastern,1264 Fairstead Ln,925000.0,4.0,4.0
138,Squirrel Hill,10.0,11363.0,0.04,8.19,21.7,148.0,1.3,1.0,0.01,0.05,0.05,0.02,0.01,0.06,0.15,0.51,0.06,0.01,Wightman Park,Wightman Playground,SOLWAY ST,Parks - Eastern,300 Anita Ave,1199000.0,4.0,4.0
139,Squirrel Hill,10.0,11363.0,0.04,8.19,21.7,148.0,1.3,1.0,0.01,0.05,0.05,0.02,0.01,0.06,0.15,0.51,0.06,0.01,Wightman Park,Wightman Playground,SOLWAY ST,Parks - Eastern,5446 Aylesboro Ave,1150000.0,7.0,4.0
140,Squirrel Hill,10.0,11363.0,0.04,8.19,21.7,148.0,1.3,1.0,0.01,0.05,0.05,0.02,0.01,0.06,0.15,0.51,0.06,0.01,Wightman Park,Wightman Playground,SOLWAY ST,Parks - Eastern,6383 -6385 Caton,399900.0,6.0,0.0
141,Squirrel Hill,10.0,11363.0,0.04,8.19,21.7,148.0,1.3,1.0,0.01,0.05,0.05,0.02,0.01,0.06,0.15,0.51,0.06,0.01,Wightman Park,Wightman Playground,SOLWAY ST,Parks - Eastern,1336 Squirrel Hill Ave,1150000.0,5.0,4.0
142,Squirrel Hill,10.0,11363.0,0.04,8.19,21.7,148.0,1.3,1.0,0.01,0.05,0.05,0.02,0.01,0.06,0.15,0.51,0.06,0.01,Wightman Park,Wightman Playground,SOLWAY ST,Parks - Eastern,1631 Beechwood Blvd,400000.0,4.0,2.0
143,St. Clair,7.0,209.0,0.0,1.37,14.1,14.0,6.7,0.0,0.0,0.04,0.22,0.02,0.0,0.09,0.0,0.42,0.14,0.0,,,,,,,,
144,Stanton Heights,13.0,4601.0,0.02,2.16,27.9,67.0,1.5,1.0,0.04,0.06,0.11,0.04,0.02,0.13,0.1,0.32,0.05,0.05,Dinan Park,Dinan Playground,FARMINGTON ST,Parks - Northeast,5567 Camelia St,199900.0,3.0,2.0
145,Strip District,13.0,616.0,0.0,5.16,28.5,155.0,25.2,0.0,0.0,0.15,0.07,0.04,0.03,0.15,0.22,0.16,0.05,0.08,Denny Park,Denny Playground,LIBERTY AVE,Parks - Northeast,,,,
146,Summer Hill,1.0,1051.0,0.0,4.94,28.9,13.0,1.2,0.0,0.13,0.0,0.12,0.1,0.07,0.07,0.0,0.18,0.04,0.25,,,,,258 Chapin St,115000.0,2.0,1.0
147,Swisshelm Park,10.0,1361.0,0.0,2.04,17.8,28.0,2.1,1.0,0.06,0.01,0.09,0.05,0.02,0.07,0.11,0.39,0.12,0.03,Swisshelm Park,Swisshelm Playground,ONONDAGO ST,Parks - Eastern,,,,
148,Terrace Village,15.0,3228.0,0.01,0.74,21.7,163.0,5.0,1.0,0.02,0.0,0.06,0.05,0.0,0.02,0.13,0.34,0.3,0.04,Kennard Park,Kennard Playground,KIRKPATRICK ST,Parks - Schenley,,,,
149,Troy Hill,1.0,2714.0,0.01,2.4,29.6,163.0,6.0,2.0,0.09,0.11,0.12,0.01,0.01,0.18,0.05,0.16,0.14,0.02,Cowley Park,Cowley Playground,GOETTMANN ST,Parks - Northern,939 Itin St,54900.0,4.0,2.0
150,Upper Hill,15.0,2057.0,0.01,0.77,30.6,45.0,2.2,1.0,0.02,0.02,0.08,0.03,0.04,0.04,0.11,0.46,0.08,0.08,Robert E. Williams Park,Robert E. WIlliams Playground,MILWAUKEE ST,Parks - Schenley,,,,
151,West End,4.0,254.0,0.0,4.17,35.2,23.0,9.1,1.0,0.0,0.17,0.0,0.0,0.0,0.17,0.19,0.3,0.17,0.0,Wabash Park,Wabash Playground,WABASH ST,Parks - Western,,,,
152,Banksville/Westwood,4.0,3066.0,0.01,2.41,24.0,57.0,1.9,1.0,0.03,0.17,0.1,0.02,0.01,0.09,0.09,0.27,0.06,0.06,Crafton Heights Park,Crafton Heights Playground,PRESTON ST,Parks - Western,1236 Colescott St,39900.0,3.0,1.0
153,Banksville/Westwood,4.0,3066.0,0.01,2.41,24.0,57.0,1.9,1.0,0.03,0.17,0.1,0.02,0.01,0.09,0.09,0.27,0.06,0.06,Crafton Heights Park,Crafton Heights Playground,PRESTON ST,Parks - Western,174 Oakbrook Cir,259000.0,4.0,2.0
154,Banksville/Westwood,4.0,3066.0,0.01,2.41,24.0,57.0,1.9,1.0,0.03,0.17,0.1,0.02,0.01,0.09,0.09,0.27,0.06,0.06,Crafton Heights Park,Crafton Heights Playground,PRESTON ST,Parks - Western,1351 Keever Ave,144900.0,2.0,2.0
155,Windgap,4.0,1369.0,0.0,1.1,21.5,41.0,3.0,1.0,0.06,0.12,0.23,0.05,0.08,0.07,0.11,0.19,0.06,0.02,Chartiers Park,Chartiers Playground,CHARTIERS AVE,Parks - Western,,,,
156,Franklin Park,,,,,,,,,,,,,,,,,,,,,,,1542 Field Clb,389900.0,4.0,2.0
157,Franklin Park,,,,,,,,,,,,,,,,,,,,,,,- Reis Run Rd,165000.0,0.0,0.0
158,Upper St. Clair,,,,,,,,,,,,,,,,,,,,,,,820 Westgate,329900.0,4.0,4.0
159,Upper St. Clair,,,,,,,,,,,,,,,,,,,,,,,1820 Kent,389000.0,5.0,4.0
160,Upper St. Clair,,,,,,,,,,,,,,,,,,,,,,,Lot 905 Turnberry Dr,315000.0,0.0,0.0
161,Upper St. Clair,,,,,,,,,,,,,,,,,,,,,,,Lot 904 Turnberry Dr,320000.0,0.0,0.0
162,Upper St. Clair,,,,,,,,,,,,,,,,,,,,,,,1893 Springmont Dr,519900.0,4.0,4.0
163,Upper St. Clair,,,,,,,,,,,,,,,,,,,,,,,82 Ruthfred Dr,182000.0,3.0,2.0
164,Upper St. Clair,,,,,,,,,,,,,,,,,,,,,,,2180 Clairmont Dr,419900.0,4.0,2.0
165,Upper St. Clair,,,,,,,,,,,,,,,,,,,,,,,2429 Giant Oaks,319900.0,4.0,2.0
166,Upper St. Clair,,,,,,,,,,,,,,,,,,,,,,,288 High Sierra Cir,299900.0,4.0,3.0
167,Upper St. Clair,,,,,,,,,,,,,,,,,,,,,,,500 Miranda Rd,310000.0,3.0,2.0
168,Upper St. Clair,,,,,,,,,,,,,,,,,,,,,,,2621 Quail Hl,458900.0,4.0,3.0
169,Whitehall,,,,,,,,,,,,,,,,,,,,,,,1308 Varner,160000.0,4.0,2.0
170,Whitehall,,,,,,,,,,,,,,,,,,,,,,,5079 S Psge,179900.0,3.0,2.0
171,Whitehall,,,,,,,,,,,,,,,,,,,,,,,3189 Woodridge,169000.0,2.0,2.0
172,Whitehall,,,,,,,,,,,,,,,,,,,,,,,5029 Brownsville Rd,185000.0,3.0,2.0
173,Whitehall,,,,,,,,,,,,,,,,,,,,,,,227 Jill Dr,299900.0,4.0,2.0
174,Whitehall,,,,,,,,,,,,,,,,,,,,,,,4826 Baptist Rd,169900.0,3.0,2.0
175,Whitehall,,,,,,,,,,,,,,,,,,,,,,,4653 Sherwood Dr,195000.0,3.0,2.0
176,Whitehall,,,,,,,,,,,,,,,,,,,,,,,71 Hennig Dr,185000.0,3.0,2.0
177,Shaler,,,,,,,,,,,,,,,,,,,,,,,13 Scobbo Dr,226900.0,3.0,2.0
178,Shaler,,,,,,,,,,,,,,,,,,,,,,,403 Louann St,249000.0,3.0,2.0
179,Shaler,,,,,,,,,,,,,,,,,,,,,,,133 Lohengrin Dr,235000.0,3.0,2.0
180,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,1190 Driftwood Dr,309900.0,4.0,2.0
181,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,118 Marlin Dr,434900.0,5.0,3.0
182,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,1394 Navahoe Dr,574900.0,4.0,4.0
183,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,20 Ralston Pl,272500.0,3.0,2.0
184,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,878 Bridgewater Dr,249900.0,4.0,2.0
185,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,37 Carleton Dr,339000.0,4.0,3.0
186,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,157 Stilwell Ct,479900.0,4.0,2.0
187,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,441 Morrison,399000.0,3.0,2.0
188,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,820 Osage Rd,995000.0,5.0,4.0
189,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,358 Orchard Dr,210000.0,3.0,2.0
190,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,651 Moreland,210000.0,3.0,2.0
191,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,210 Arden Rd,239900.0,3.0,2.0
192,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,432 Mapleton Ave,224000.0,3.0,2.0
193,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,1014 Osage Rd,735000.0,5.0,4.0
194,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,683 Oxford Blvd,174900.0,2.0,2.0
195,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,853 Vermont Ave,229900.0,3.0,1.0
196,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,229 Barth Ave,229900.0,3.0,1.0
197,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,101 Lawncroft Ave Unit A4,130000.0,2.0,1.0
198,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,225 Gilkeson Rd,195000.0,3.0,2.0
199,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,28 Hazel,539900.0,4.0,2.0
200,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,415 Duquesne Dr,264900.0,3.0,2.0
201,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,337 Sunset Dr,375000.0,4.0,3.0
202,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,349 Birch Ave,279900.0,3.0,1.0
203,Mt. Lebanon,,,,,,,,,,,,,,,,,,,,,,,26 Nakoma Dr,694900.0,4.0,2.0
204,Swissvale,,,,,,,,,,,,,,,,,,,,,,,7429 Park Ave,170000.0,5.0,0.0
205,Swissvale,,,,,,,,,,,,,,,,,,,,,,,1400 Smokey Wood Dr #805,84900.0,2.0,1.0
206,Swissvale,,,,,,,,,,,,,,,,,,,,,,,7005 Church St,149900.0,3.0,1.0
207,Swissvale,,,,,,,,,,,,,,,,,,,,,,,2228 Woodstock Ave,119500.0,3.0,1.0
208,Swissvale,,,,,,,,,,,,,,,,,,,,,,,2225 Lacrosse St,150000.0,2.0,1.0
209,Swissvale,,,,,,,,,,,,,,,,,,,,,,,7526 Dickson St,89900.0,3.0,1.0
210,Swissvale,,,,,,,,,,,,,,,,,,,,,,,2108 Hudson,165000.0,3.0,2.0
211,Brentwood,,,,,,,,,,,,,,,,,,,,,,,3889 Delco Rd,90000.0,3.0,1.0
212,Brentwood,,,,,,,,,,,,,,,,,,,,,,,2725 Pyramid Ave,159000.0,4.0,0.0
213,Brentwood,,,,,,,,,,,,,,,,,,,,,,,209 Owendale Ave,167500.0,3.0,2.0
214,Brentwood,,,,,,,,,,,,,,,,,,,,,,,344 Marylea Ave,49500.0,3.0,2.0
215,Forest Hills Boro,,,,,,,,,,,,,,,,,,,,,,,502 Forest Ridge Dr,165000.0,2.0,2.0
216,Forest Hills Boro,,,,,,,,,,,,,,,,,,,,,,,307 Avenue A,197500.0,6.0,0.0
217,Forest Hills Boro,,,,,,,,,,,,,,,,,,,,,,,120 Legrande Dr,174900.0,3.0,2.0
218,O'Hara,,,,,,,,,,,,,,,,,,,,,,,143 Riverview Ave,195000.0,4.0,2.0
219,O'Hara,,,,,,,,,,,,,,,,,,,,,,,104 Kirkwood Dr,239000.0,3.0,2.0
220,O'Hara,,,,,,,,,,,,,,,,,,,,,,,620 Arbor Ct,383000.0,3.0,3.0
221,O'Hara,,,,,,,,,,,,,,,,,,,,,,,302 Oxbridge Ct,248000.0,2.0,2.0
222,Ingram,,,,,,,,,,,,,,,,,,,,,,,328 Scotia St,129900.0,4.0,2.0
223,Wilkinsburg,,,,,,,,,,,,,,,,,,,,,,,7319 Beacon Hill Dr,118600.0,2.0,2.0
224,Wilkinsburg,,,,,,,,,,,,,,,,,,,,,,,417 Whitney Ave,119900.0,5.0,2.0
225,Plum Boro,,,,,,,,,,,,,,,,,,,,,,,232 Shasta Dr,224900.0,4.0,2.0
226,Plum Boro,,,,,,,,,,,,,,,,,,,,,,,325 Clements Rd,189900.0,3.0,1.0
227,Plum Boro,,,,,,,,,,,,,,,,,,,,,,,434 Kathy Lynn,169900.0,3.0,2.0
228,Plum Boro,,,,,,,,,,,,,,,,,,,,,,,5063 Ozark Dr,179500.0,3.0,2.0
229,Plum Boro,,,,,,,,,,,,,,,,,,,,,,,1506 Abers Creek Rd,299900.0,5.0,2.0
230,Plum Boro,,,,,,,,,,,,,,,,,,,,,,,1313 Plumdale,82000.0,2.0,2.0
231,Plum Boro,,,,,,,,,,,,,,,,,,,,,,,4109 Impala Dr,197000.0,4.0,2.0
232,Ross Twp,,,,,,,,,,,,,,,,,,,,,,,101 Merwood Dr,174900.0,3.0,2.0
233,Ross Twp,,,,,,,,,,,,,,,,,,,,,,,105 Eighth Ave,168700.0,2.0,1.0
234,Ross Twp,,,,,,,,,,,,,,,,,,,,,,,103 Candleway Dr,305000.0,4.0,3.0
235,Ross Twp,,,,,,,,,,,,,,,,,,,,,,,73 York Dr,165000.0,2.0,2.0
236,Ross Twp,,,,,,,,,,,,,,,,,,,,,,,160 Siebert Rd,224900.0,3.0,2.0
237,Penn Hills,,,,,,,,,,,,,,,,,,,,,,,711 Southern Ave,89900.0,3.0,2.0
238,Penn Hills,,,,,,,,,,,,,,,,,,,,,,,729 Veronica Dr,79900.0,2.0,1.0
239,Penn Hills,,,,,,,,,,,,,,,,,,,,,,,1750 Williamsburg Pl,169900.0,3.0,2.0
240,Penn Hills,,,,,,,,,,,,,,,,,,,,,,,748 Macbeth Dr,129900.0,3.0,2.0
241,Penn Hills,,,,,,,,,,,,,,,,,,,,,,,217 Elfort Dr,83900.0,3.0,2.0
242,Penn Hills,,,,,,,,,,,,,,,,,,,,,,,214 Anthon Dr,90000.0,4.0,2.0
243,Penn Hills,,,,,,,,,,,,,,,,,,,,,,,403 Billy Dr,139900.0,3.0,2.0
244,Penn Hills,,,,,,,,,,,,,,,,,,,,,,,27 Falkirk Dr,127900.0,3.0,2.0
245,Penn Hills,,,,,,,,,,,,,,,,,,,,,,,7943 Dollman Rd,900000.0,7.0,4.0
246,Penn Hills,,,,,,,,,,,,,,,,,,,,,,,316 Paris Rd,40000.0,4.0,2.0
247,Penn Hills,,,,,,,,,,,,,,,,,,,,,,,468 Springdale Dr,59000.0,3.0,2.0
248,Penn Hills,,,,,,,,,,,,,,,,,,,,,,,615 Lougeay Rd,40560.0,2.0,1.0
249,Penn Hills,,,,,,,,,,,,,,,,,,,,,,,146 Garlow,119900.0,3.0,2.0
250,South Side,,,,,,,,,,,,,,,,,,,,,,,1818 Sidney St,375000.0,3.0,2.0
251,South Side,,,,,,,,,,,,,,,,,,,,,,,2002 Sarah St,321500.0,3.0,2.0
252,South Side,,,,,,,,,,,,,,,,,,,,,,,121 S 19th St,239900.0,5.0,0.0
253,South Side,,,,,,,,,,,,,,,,,,,,,,,3 Crossman St,144900.0,2.0,1.0
254,South Side,,,,,,,,,,,,,,,,,,,,,,,1200 Sarah St,279000.0,0.0,0.0
255,South Side,,,,,,,,,,,,,,,,,,,,,,,3128 Mary St,259000.0,3.0,2.0
256,South Side,,,,,,,,,,,,,,,,,,,,,,,66 Pius St #301,239000.0,2.0,2.0
257,South Side,,,,,,,,,,,,,,,,,,,,,,,2333 Larkins Way,207000.0,4.0,1.0
258,South Side,,,,,,,,,,,,,,,,,,,,,,,81 S 15th St,499900.0,3.0,2.0
259,South Side,,,,,,,,,,,,,,,,,,,,,,,1 Pius St Unit B6,289000.0,2.0,2.0
260,South Side,,,,,,,,,,,,,,,,,,,,,,,1 Pius St Unit B4,299000.0,2.0,2.0
261,South Side,,,,,,,,,,,,,,,,,,,,,,,2719 Sumner,112500.0,3.0,1.0
262,Ohio Twp,,,,,,,,,,,,,,,,,,,,,,,1631 Roosevelt Rd,190000.0,3.0,2.0
263,Mt Washington,,,,,,,,,,,,,,,,,,,,,,,112 Beltzhoover Ave,200000.0,4.0,3.0
264,Mt Washington,,,,,,,,,,,,,,,,,,,,,,,1 Trimont Ln Unit 1110A,319000.0,2.0,2.0
265,Mt Washington,,,,,,,,,,,,,,,,,,,,,,,14 Wills St,289889.0,3.0,2.0
266,Mt Washington,,,,,,,,,,,,,,,,,,,,,,,177 Plymouth St,299900.0,3.0,2.0
